,pre,pre.1,post,sp_trans_p,treatment
345,62,62,567,0.0044918794760404,ctr
346,62,62,568,0.0028984180568662,ctr
347,64,64,139,0.0003150257072225,ctr
348,65,65,548,0.0021331811790686,ctr
349,68,68,448,0.0002974279985619,ctr
350,73,73,136,0.0004821314325385,ctr
351,73,73,210,0.0022056387168514,ctr
352,73,73,212,0.0023473902344557,ctr
353,73,73,517,0.0001036090417879,ctr
354,73,73,570,0.0039956625508607,ctr
355,82,82,212,0.0017814348789787,ctr
356,88,88,390,0.0014283807003173,ctr
357,88,88,478,0.0065386464530706,ctr
358,99,99,115,0.0043849944321898,ctr
359,99,99,140,0.0119788227325282,ctr
360,99,99,576,0.0047932699896032,ctr
361,114,114,157,0.007188638056462,ctr
362,114,114,210,0.0032092536899089,ctr
363,114,114,415,0.0029406310274076,ctr
364,114,114,548,0.0011850433484193,ctr
365,114,114,568,0.0050234559363182,ctr
366,114,114,572,0.0007850790932299,ctr
367,115,115,212,0.001962021908802,ctr
368,115,115,463,0.0002943118453708,ctr
369,115,115,582,0.0032282749520712,ctr
370,126,126,140,0.000906383209346,ctr
371,126,126,446,4.027378107101381e-05,ctr
372,136,136,145,0.0034548935205406,ctr
373,136,136,393,0.0008610633688249,ctr
374,136,136,434,0.0003681595350508,ctr
375,136,136,514,0.0004653841186858,ctr
376,136,136,568,0.0036776827925388,ctr
377,139,139,288,6.22663273059168e-05,ctr
378,139,139,302,9.427406321975763e-05,ctr
379,139,139,485,8.722443129923277e-05,ctr
380,139,139,564,0.0007083391798175,ctr
381,140,140,487,3.080398589264122e-05,ctr
382,140,140,517,0.000528998522642,ctr
383,140,140,582,0.0006426137378141,ctr
384,145,145,514,0.0002356263192789,ctr
385,145,145,567,0.0087716694269119,ctr
386,151,151,212,0.0125291945675703,ctr
387,151,151,567,0.012915550214118,ctr
388,155,155,546,0.0080125055963723,ctr
389,155,155,570,0.0022859267737552,ctr
390,157,157,572,0.0021175143401934,ctr
391,163,163,288,0.0075759525298711,ctr
392,163,163,546,0.00037459708749,ctr
393,163,163,556,0.0010785599201677,ctr
394,163,163,558,0.01040765147776,ctr
395,200,200,478,0.0068254313694727,ctr
396,200,200,517,0.0067455878812207,ctr
397,200,200,556,0.0004878938724672,ctr
398,202,202,316,0.0045534165783126,ctr
399,202,202,578,0.0037234429897617,ctr
400,202,202,608,0.0104030864508666,ctr
401,206,206,551,0.0009080377586642,ctr
402,210,210,212,0.0018154019127004,ctr
403,210,210,288,0.0010678694502931,ctr
404,210,210,314,0.0018853015577005,ctr
405,210,210,390,0.0005442961510248,ctr
406,210,210,499,0.0003925539998094,ctr
407,212,212,288,0.0011012706118667,ctr
408,212,212,293,0.0021706012485514,ctr
409,212,212,298,0.0001134167615202,ctr
410,212,212,319,0.0008960489537493,ctr
411,212,212,401,0.0018815530209441,ctr
412,212,212,434,0.003515825417676,ctr
413,212,212,439,0.0027791722177696,ctr
414,212,212,553,0.0001766929851422,ctr
415,212,212,564,0.0020037340503039,ctr
416,251,251,463,0.0001700147320925,ctr
417,251,251,551,0.00143979750018,ctr
418,264,264,440,0.0006977432076934,ctr
419,264,264,575,0.0043459259339282,ctr
420,282,282,437,0.0018101226723418,ctr
421,282,282,446,0.0064885845090473,ctr
422,282,282,576,0.0091510133695038,ctr
423,282,282,578,0.0007853879158107,ctr
424,288,288,298,0.0004065072221907,ctr
425,288,288,303,0.0015471313669536,ctr
426,293,293,300,0.0055013596396983,ctr
427,298,298,334,6.237854803329418e-05,ctr
428,298,298,401,0.0005548199725914,ctr
429,298,298,434,0.0005563688147887,ctr
430,298,298,517,0.002671351926805,ctr
431,300,300,319,0.0042152476768103,ctr
432,300,300,476,0.0027443797225506,ctr
433,300,300,568,0.0031361363432597,ctr
434,301,301,381,0.0025447387347313,ctr
435,301,301,574,0.0060547354204772,ctr
436,302,302,398,0.0005975047375854,ctr
437,302,302,589,0.0040754771253822,ctr
438,303,303,319,0.0005114840977848,ctr
439,306,306,366,0.0091834085810703,ctr
440,306,306,429,0.0036533285688231,ctr
441,306,306,476,0.0010272077712375,ctr
442,306,306,568,0.0047007817531078,ctr
443,314,314,550,0.0013662830405313,ctr
444,314,314,567,0.0042971118089559,ctr
445,314,314,605,0.0003884993682204,ctr
446,316,316,391,0.0003701614179531,ctr
447,316,316,575,0.0005551443296454,ctr
448,319,319,425,0.0005222452914708,ctr
449,319,319,434,5.4181185462166825e-05,ctr
450,319,319,501,0.0001956119410667,ctr
451,322,322,401,0.0017878421566406,ctr
452,322,322,434,0.0003107855641846,ctr
453,322,322,464,0.0003072459254623,ctr
454,322,322,581,0.0036677465296778,ctr
455,330,330,434,0.0012560517440311,ctr
456,334,334,440,0.0051026629674033,ctr
457,334,334,580,0.0066160724260339,ctr
458,366,366,381,0.0016735635606755,ctr
459,366,366,478,0.0012162218963426,ctr
460,366,366,572,0.0033310078866893,ctr
461,366,366,575,0.0024855038469883,ctr
462,379,379,505,5.392176166150314e-05,ctr
463,381,381,590,0.0057440770019707,ctr
464,385,385,434,0.0110499600016286,ctr
465,390,390,556,0.0005822675845889,ctr
466,398,398,434,0.000251217234513,ctr
467,398,398,454,0.0009266713381955,ctr
468,398,398,546,0.0001744503421295,ctr
469,398,398,553,1.0468013905567258e-05,ctr
470,398,398,605,0.0044425573194925,ctr
471,401,401,467,0.0022849441757474,ctr
472,401,401,564,0.0006416090141061,ctr
473,411,411,485,0.0019220951401209,ctr
474,415,415,499,0.0042687767553607,ctr
475,415,415,501,0.0019547354726132,ctr
476,415,415,546,0.0020302150560235,ctr
477,425,425,549,0.0027382858830445,ctr
478,425,425,576,0.0020789996809377,ctr
479,425,425,609,0.0013275843032863,ctr
480,429,429,553,0.0010701801798275,ctr
481,429,429,572,0.0010671622899611,ctr
482,429,429,578,0.0020212387511192,ctr
483,429,429,580,0.0033016737343057,ctr
484,430,430,454,0.0128325554276749,ctr
485,434,434,549,0.0004255855914182,ctr
486,434,434,582,0.0002197435972938,ctr
487,437,437,439,0.0027667128003852,ctr
488,437,437,487,0.00023076422668,ctr
489,437,437,549,0.0036718280683542,ctr
490,437,437,554,0.0020382382185692,ctr
491,437,437,570,-0.0004043399610979,ctr
492,439,439,454,0.0050166325598874,ctr
493,439,439,548,0.0011712447893468,ctr
494,444,444,446,0.0006880618532883,ctr
495,444,444,464,0.0029547106946017,ctr
496,444,444,476,0.0014121435343358,ctr
497,446,446,549,0.0004683901057084,ctr
498,446,446,567,0.0048289375658162,ctr
499,448,448,454,0.0169080813396595,ctr
500,448,448,570,0.0019933860232612,ctr
501,454,454,464,0.0096772534536897,ctr
502,454,454,485,0.0004590473636201,ctr
503,454,454,584,0.0049281709257268,ctr
504,460,460,463,0.0011670097649074,ctr
505,460,460,517,0.0008891533024369,ctr
506,463,463,583,0.0031111929133841,ctr
507,464,464,493,0.0080378840083822,ctr
508,476,476,485,0.0226704654657823,ctr
509,476,476,487,0.010405520133422,ctr
510,476,476,499,0.0080395602510164,ctr
511,478,478,499,0.0015579945635057,ctr
512,484,484,485,0.0068106267438463,ctr
513,484,484,548,0.0200730463108056,ctr
514,485,485,493,0.0006518702667813,ctr
515,485,485,501,0.0012884808403186,ctr
516,485,485,505,0.0002415729322242,ctr
517,485,485,548,0.0001192163229156,ctr
518,487,487,517,0.000652766056161,ctr
519,493,493,499,0.0153534877179432,ctr
520,499,499,580,0.0040053707006771,ctr
521,501,501,505,0.0052939551287328,ctr
522,505,505,590,0.0012728295667291,ctr
523,505,505,598,8.002777973671604e-05,ctr
524,514,514,517,0.0002048801859047,ctr
525,514,514,607,0.0004846192952544,ctr
526,546,546,579,0.0003969269954359,ctr
527,546,546,583,0.0015919618888918,ctr
528,549,549,553,0.0005548852820921,ctr
529,549,549,589,0.0019715475193098,ctr
530,549,549,608,0.0020189814193811,ctr
531,550,550,571,0.0001738975025401,ctr
532,551,551,568,0.0024637672180621,ctr
533,551,551,581,0.001654765027964,ctr
534,551,551,603,9.64216204458676e-05,ctr
535,554,554,576,0.0025956545902765,ctr
536,554,554,604,0.0020242286091811,ctr
537,558,558,589,0.0049483033642764,ctr
538,566,566,568,0.0001936870216611,ctr
539,566,566,584,0.0080022979075462,ctr
540,567,567,581,0.0030048653511412,ctr
541,568,568,570,0.0018062833570583,ctr
542,570,570,589,0.0101601827894597,ctr
543,572,572,576,0.0053320939767019,ctr
544,574,574,581,0.0044466789300554,ctr
545,575,575,582,0.0022986725996393,ctr
546,576,576,578,0.0066202342957896,ctr
547,576,576,607,0.0086087262171038,ctr
548,581,581,608,0.0004802627574616,ctr
